Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	13.593857	7.01745	42.0	4.0	13.593857	0.21330707	0.011266726	0.2864961	0.15860169	4000	6.9618224e-08	107.425644	-0.019271668	-26.125587	0.9189385	0.011977166	0.13875	79.0	0.5522820949554443
1	16.377048	8.094552	46.0	5.0	16.377048	1.9970393	0.32046387	3.0630555	0.66865003	8000	2.515316e-08	109.73306	-0.018115113	-33.883644	0.90803266	0.011249895	0.12	79.0	1.0409178733825684
2	21.272728	12.873944	68.0	5.0	21.272728	4.5139804	0.5074315	6.2455673	1.2638428	12000	9.536743e-09	175.79968	-0.02126014	-55.01596	0.9019364	0.012737722	0.13125	79.0	1.5092289447784424
3	32.69672	21.896135	112.0	7.0	32.69672	8.424459	0.8246926	10.557986	3.0684164	16000	2.336502e-08	339.08972	-0.017959733	-103.96631	0.89391804	0.006413245	0.115	79.0	2.0170810222625732
4	42.89011	26.531942	116.0	6.0	42.89011	14.373938	0.7055113	15.638575	7.9829817	20000	-4.4107438e-09	367.83597	-0.012657165	-96.83963	0.88552254	0.004084411	0.07225	79.0	2.5243730545043945
5	56.30986	26.846771	126.0	8.0	56.30986	20.053886	1.3226286	22.102177	11.46194	24000	-1.847744e-08	309.59763	-0.011350824	-70.97383	0.862751	0.005726591	0.0565	79.0	2.997623920440674
6	61.734375	24.75899	128.0	17.0	61.734375	24.041693	3.2276707	26.816677	4.7412777	28000	2.384186e-10	241.33864	-0.010239683	-44.6257	0.84530985	0.007104375	0.05275	79.0	3.4832351207733154
7	76.80769	37.22749	234.0	7.0	76.80769	26.514765	4.8419075	30.648355	5.100626	32000	-1.0490417e-08	352.4923	-0.005947129	-91.33194	0.84135234	0.003413263	0.02975	79.0	3.9982199668884277
8	98.325	40.39207	257.0	29.0	98.325	31.915293	6.3234515	37.192745	4.196151	36000	-9.179115e-09	367.90005	-0.0069632647	-83.6358	0.8335535	0.0041288864	0.03675	79.0	4.470249176025391
9	126.22581	56.367294	305.0	64.0	126.22581	37.83165	8.02238	43.79208	2.0903604	40000	1.4424324e-08	459.17175	-0.008519938	-107.5083	0.8146537	0.004711877	0.04525	79.0	4.921870946884155
10	147.44444	71.77658	326.0	39.0	147.44444	43.6339	9.599096	51.251472	3.1458354	44000	-2.8252602e-08	472.13974	-0.008287465	-88.16519	0.8023181	0.0036567436	0.03975	79.0	5.389193058013916
11	210.05263	150.10645	695.0	45.0	210.05263	49.647686	10.104706	58.15611	4.2732716	48000	5.4836273e-09	694.5525	-0.009632286	-173.69476	0.801845	0.0045345672	0.03725	79.0	5.861565113067627
12	386.1	217.59894	1000.0	221.0	386.1	59.08684	9.658852	67.30451	6.9264026	52000	3.71933e-08	741.64874	-0.008095696	-362.59933	0.79290676	0.0032017347	0.042	79.0	6.326894998550415
13	441.0	336.01422	1000.0	133.0	441.0	69.89664	10.171403	78.37525	14.929407	56000	3.1471252e-08	592.5076	-0.0046408023	-124.6702	0.7899706	0.015149807	0.15725	11.0	6.740799903869629
14	247.66667	118.50439	468.0	42.0	247.66667	76.83644	9.5215225	85.422585	28.877365	60000	-9.059906e-09	546.7601	-0.0061362037	-139.77255	0.7854716	0.0057455515	0.057	79.0	7.199540853500366
15	947.25	91.36568	1000.0	789.0	947.25	76.916016	5.864887	83.97547	34.90145	64000	7.176399e-08	454.87985	-0.009422642	-284.02893	0.77409476	0.004950022	0.07475	79.0	7.651041030883789
16	759.8	283.03244	1000.0	283.0	759.8	87.59714	5.930395	91.45215	30.570198	68000	-2.3245812e-09	239.61137	-0.005172478	-21.840424	0.7424268	0.0036033476	0.0455	79.0	8.143440008163452
17	935.0	112.583305	1000.0	740.0	935.0	91.50235	3.668769	94.26262	71.88097	72000	-3.218651e-08	135.75638	-0.007191475	-23.801666	0.7372747	0.0067884447	0.038	79.0	8.593124151229858
18	1000.0	0.0	1000.0	1000.0	1000.0	95.643135	1.6807508	97.27286	84.59534	76000	-2.682209e-08	19.121174	-0.008146308	-13.782236	0.719805	0.0025348158	0.03625	79.0	9.046810150146484
19	1000.0	0.0	1000.0	1000.0	1000.0	98.57483	0.9548743	99.52541	91.17894	80000	3.7908553e-08	2.6639197	-0.0075916722	-1.5934306	0.6888466	0.0036565734	0.0405	79.0	9.4937162399292
